null	No.	OK	change	protein name	old
R00	7786			Ribonuclease P protein component	bacterial ribonuclease P protein component of ribozyme
R00	7787			Ribonuclease 3 1	ribonuclease III
R00	7788			Ribonuclease 3	dsRNA-specific ribonuclease/ribonuclease III
R00	7789			DNA-directed RNA polymerase subunit beta'	DNA-directed RNA polymerase beta' chain
R00	7790			DNA-directed RNA polymerase subunit beta'	DNA-directed RNA polymerase, beta' subunit
R00	7791			DNA-directed RNA polymerase subunit beta'	DNA-directed RNA polymerase, beta'' subunit rpoC2
R00	7792			DNA-directed RNA polymerase subunit beta'	RNA polymerase beta'-subunit
R00	7793			DNA-directed RNA polymerase subunit beta'	DNA-directed RNA polymerase, beta'' subunit
R00	7794			DNA-directed RNA polymerase subunit beta'	DNA-directed RNA polymerase
R00	7795			DNA-directed RNA polymerase subunit beta'	HPr serine phosphorylation site
R00	7796			DNA-directed RNA polymerase subunit beta'	DNA-directed RNA polymerase beta' subunit/160 kD subunit
R00	7797			Ribonuclease Z	Metallo-beta-lactamase superfamily enzyme
R00	7798			Ribonuclease Z	Metal-dependent hydrolases of the beta-lactamase superfamily III
R00	7799			Ribonuclease Z	putative Ribonuclease Z
R00	7800			Ribonuclease Z	tRNA 3' endonuclease RNase Z
R00	7801			Ribonuclease Z	Ribonuclease Z (RNase Z) (tRNA 3 endonuclease)
R00	7802			Ribonuclease Z	conserved hypothetical protein
R00	7803			DNA-directed RNA polymerase subunit gamma	RNA polymerase gamma subunit
R00	7804			DNA-directed RNA polymerase subunit gamma	DNA-directed RNA polymerase gamma chain
R00	7805			DNA-directed RNA polymerase subunit gamma	DNA-directed RNA polymerase, gamma subunit
R00	7806			DNA-directed RNA polymerase subunit gamma	RNA polymerase subunit gamma
R00	7807			DNA-directed RNA polymerase subunit gamma	RNA polymerase gamma-subunit
R00	7808			DNA-directed RNA polymerase subunit gamma	DNA-directed RNA polymerase, gamma subunit RpoC1
R00	7809			DNA-directed RNA polymerase subunit gamma	 Fragment of DNA-dependent RNA polymerase rpoC1 subunit
R00	7810			DNA-directed RNA polymerase subunit gamma	Fragment of DNA-dependent RNA polymerase rpoC1 subunit
R00	7811			DNA-directed RNA polymerase subunit gamma	DNA-directed RNA polymerase beta' subunit/160 kD subunit
R00	7812			DNA-directed RNA polymerase subunit gamma	 Fragment of DNA-dependent RNA  polymerase rpoC1 subunit
R00	7813			DNA-directed RNA polymerase subunit gamma	DNA-directed RNA polymerase
R00	7814			DNA-directed RNA polymerase subunit gamma	DNA-dependent RNA polymerase
R00	7815			DNA-directed RNA polymerase subunit gamma	RNA polymerase
R00	7816			30S ribosomal protein S10	Ribosomal protein S10
R00	7817			Probable 30S ribosomal protein PSRP-3	30S ribosomal protein Ycf65
R00	7818			Probable 30S ribosomal protein PSRP-3	putative plastid and cyanobacterial ribosomal protein PSRP-3/Ycf65
R00	7819			Probable 30S ribosomal protein PSRP-3	putative protein
R00	7820			Probable 30S ribosomal protein PSRP-3	conserved hypothetical protein YCF65
R00	7821			Probable 30S ribosomal protein PSRP-3	Ycf65-like protein
R00	7822			Probable 30S ribosomal protein PSRP-3	hypothetical protein YCF65
R00	7823			Probable 30S ribosomal protein PSRP-3	Uncharacterized protein
R00	7824			Ribosome-recycling factor	ribosome releasing factor
R00	7825			Ribosome-recycling factor	ribosome recycling factor protein Rrf
R00	7826			Ribonuclease PH	hypothetical protein
R00	7827			Probable RNA polymerase sigma-C factor	RNA polymerase sigma factor
R00	7828			RNA polymerase sigma-C factor	RNA polymerase sigma-subunit
R00	7829			50S ribosomal protein L9	ribosomal protein RL9
R00	7830			50S ribosomal protein L9	Ribosomal protein L9
R00	7831			RNA polymerase sigma-B factor	RNA polymerase sigma-subunit
R00	7832			RNA polymerase sigma-B factor	transcription initiation factor sigma
R00	7833			Ribonuclease HI	ribonuclease H
R00	7834			DNA-directed RNA polymerase subunit beta	RNA polymerase beta subunit
R00	7835			DNA-directed RNA polymerase subunit beta	DNA-directed RNA polymerase beta chain
R00	7836			DNA-directed RNA polymerase subunit beta	RNA polymerase beta-subunit
R00	7837			DNA-directed RNA polymerase subunit beta	RNA polymerases beta subunit
R00	7838			DNA-directed RNA polymerase subunit beta	DNA-directed RNA polymerase beta subunit/140 kD subunit
R00	7839			Ribose-5-phosphate isomerase A	putative ribose 5-phosphate isomerase A
R00	7840			Ribonuclease 3 2	ribonuclease III
R00	7841			Probable dual-specificity RNA methyltransferase RlmN	Predicted Fe-S-cluster redox enzyme
R00	7842			Probable dual-specificity RNA methyltransferase RlmN	hypothetical protein
R00	7843			Probable dual-specificity RNA methyltransferase RlmN	CHP48-containing protein
R00	7844			Probable dual-specificity RNA methyltransferase RlmN	radical SAM enzyme, Cfr family protein
R00	7845			Probable dual-specificity RNA methyltransferase RlmN	conserved hypothetical protein
R00	7846			Ribosomal RNA large subunit methyltransferase H	Uncharacterized conserved protein
R00	7847			Ribosomal RNA large subunit methyltransferase H	Conserved hypothetical protein
R00	7848			Ribosomal RNA large subunit methyltransferase H	conserved hypothetical protein
R00	7849			DNA-directed RNA polymerase subunit alpha	Bacterial RNA polymerase, alpha chain
R00	7850			DNA-directed RNA polymerase subunit alpha	DNA-directed RNA polymerase alpha chain
R00	7851			DNA-directed RNA polymerase subunit alpha	DNA-dircted RNA polymerase alpha chain
R00	7852			DNA-directed RNA polymerase subunit alpha	DNA-directed RNA polymerase alpha subunit/40 kD subunit
R00	7853			Ribonuclease E/G-like protein	ribonuclease E
R00	7854			RlpA-like protein	rare lipoprotein A
R00	7855			DNA-directed RNA polymerase subunit omega	putative DNA-directed RNA polymerase (omega chain)
R00	7856			DNA-directed RNA polymerase subunit omega	probable DNA-directed RNA polymerase omega subunit
R00	7857			DNA-directed RNA polymerase subunit omega	DNA-directed RNA polymerase omega chain (RNAP omega subunit)
R00	7858			DNA-directed RNA polymerase subunit omega	putative DNA-directed RNA polymerase, omega subunit
R00	7859			DNA-directed RNA polymerase subunit omega	RNA polymerase subunit omega (rpoZ)
R00	7860			DNA-directed RNA polymerase subunit omega	RNA polymerase, omega subunit
R00	7861			DNA-directed RNA polymerase subunit omega	DNA-directed RNA polymerase subunit K/omega
R00	7862			30S ribosomal protein S17	30S Ribosomal protein S17
R00	7863			30S ribosomal protein S17	Ribosomal protein S17
R00	7864			30S ribosomal protein S6	30s ribosomal protein S6
R00	7865			30S ribosomal protein S6	Ribosomal protein S6
R00	7866			30S ribosomal protein S21 1	SSU ribosomal protein S21P
R00	7867			30S ribosomal protein S20	30s Ribosomal protein S20
R00	7868			30S ribosomal protein S20	Ribosomal protein S20
R00	7869			30S ribosomal protein S3	Ribosomal protein S3
R00	7870			30S ribosomal protein S21 3	SSU ribosomal protein S21P
R00	7871			30S ribosomal protein S19	30S Ribosomal protein S19
R00	7872			30S ribosomal protein S19	Ribosomal protein S19
R00	7873			30S ribosomal protein S15	30S Ribosomal protein S15
R00	7874			30S ribosomal protein S15	Ribosomal protein S15
R00	7875			30S ribosomal protein S1	ribosomal protein S1 of 30S ribosome
R00	7876			30S ribosomal protein S1	ribosomal protein S1
R00	7877			30S ribosomal protein S1	RNA binding S1
R00	7878			30S ribosomal protein S12	ribosomal protein S12/S23
R00	7879			30S ribosomal protein S12	Ribosomal protein S12
R00	7880			30S ribosomal protein S11	ribosomal protein S11
R00	7881			30S ribosomal protein S11	Ribosomal protein S11
R00	7882			30S ribosomal protein S2	Ribosomal protein S2
R00	7883			30S ribosomal protein S4	Ribosomal protein S4
R00	7884			30S ribosomal protein S21 2	SSU ribosomal protein S21P
R00	7885			30S ribosomal protein S21	30S Ribosomal protein S21
R00	7886			30S ribosomal protein S21	Hypothetical protein
R00	7887			30S ribosomal protein S21	Ribosomal protein S21
R00	7888			30S ribosomal protein S14	30S Ribosomal protein S14
R00	7889			30S ribosomal protein S14	30S ribosomal protein S14, RpsN
R00	7890			30S ribosomal protein S14	Ribosomal protein S14
R00	7891			30S ribosomal protein S5	Ribosomal protein S5
R00	7892			30S ribosomal protein S16	30S Ribosomal protein S16
R00	7893			30S ribosomal protein S16	Ribosomal protein S16
R00	7894			30S ribosomal protein S18	30S Ribosomal protein S18
R00	7895			30S ribosomal protein S18	Ribosomal protein S18
R00	7896			30S ribosomal protein S13	ribosomal protein S13
R00	7897			30S ribosomal protein S13	Ribosomal protein S13
R00	7898			30S ribosomal protein S21 A	30S ribosomal protein S21
R00	7899			30S ribosomal protein S21 1	30S ribosomal protein S21
R00	7900			30S ribosomal protein S21 B	30S ribosomal protein S21
R00	7901			30S ribosomal protein S20	30S Ribosomal protein S20
R00	7902			30S ribosomal protein S1 homolog A	30S ribosomal protein S1
R00	7903			30S ribosomal protein S1 homolog B	30S ribosomal protein S1
R00	7904			30S ribosomal protein S21 2	30S ribosomal protein S21
R00	7905			30S ribosomal protein S21 C	30S ribosomal protein S21
R00	7906			Protein translocase subunit SecE	secretory protein; SecE
R00	7907			30S ribosomal protein S7	Ribosomal protein S7
R00	7908			Adaptive-response sensory-kinase SasA	two-component sensor histidine kinase
R00	7909			Adaptive-response sensory-kinase SasA	clock-associated histidine kinase
R00	7910			Adaptive-response sensory-kinase SasA	adaptive-response sensory histidine kinase
R00	7911			Adaptive-response sensory-kinase SasA	histidine kinase with KaiB domain, SasA
R00	7912			Adaptive-response sensory-kinase SasA	adaptive-response sensory histidine kinase SasA
R00	7913			Adaptive-response sensory-kinase SasA	Histidine Kinase
R00	7914			Holliday junction ATP-dependent DNA helicase RuvB 1	Holliday junction DNA helicase RuvB
R00	7915			Holliday junction ATP-dependent DNA helicase RuvA	putative holliday junction DNA helicase RuvA
R00	7916			Holliday junction ATP-dependent DNA helicase RuvA	Holliday junction resolvasome DNA-binding subunit
R00	7917			Holliday junction ATP-dependent DNA helicase RuvA	holliday junction DNA helicase RuvA
R00	7918			Holliday junction ATP-dependent DNA helicase RuvA	holliday junction DNA helicase
R00	7919			Holliday junction ATP-dependent DNA helicase RuvA	Holliday junction DNA helicase
R00	7920			Holliday junction ATP-dependent DNA helicase RuvA	Holliday junction DNA helicase; RuvA
R00	7921			Holliday junction ATP-dependent DNA helicase RuvB	Holliday junction DNA helicase
R00	7922			Holliday junction ATP-dependent DNA helicase RuvB	holliday junction DNA helicase RuvB
R00	7923			Holliday junction ATP-dependent DNA helicase RuvB	holliday junction DNA helicase
R00	7924			Holliday junction ATP-dependent DNA helicase RuvB	RuvB
R00	7925			Holliday junction ATP-dependent DNA helicase RuvB	Holliday junction DNA helicase; RuvB
R00	7926			Holliday junction ATP-dependent DNA helicase RuvB	Holliday junction resolvasome helicase subunit
R00	7927			Protein translocase subunit SecY	SecY protein
R00	7928			Putative ribosome biogenesis GTPase RsgA	Predicted GTPases
R00	7929			Putative ribosome biogenesis GTPase RsgA	probable GTPase engC protein 1
R00	7930			Putative ribosome biogenesis GTPase RsgA	ribosome-associated GTPase YjeQ
R00	7931			Ribosomal RNA small subunit methyltransferase G	Methyltransferase gidB
R00	7932			Ribosomal RNA small subunit methyltransferase G	Predicted S-adenosylmethionine-dependent methyltransferase involved in bacterial cell division
R00	7933			Ribosomal RNA small subunit methyltransferase G	methyltransferase GidB
R00	7934			Ribosomal RNA small subunit methyltransferase G	glucose inhibited division protein B
R00	7935			Ribosomal RNA small subunit methyltransferase G	Glucose inhibited division protein
R00	7936			Ribosomal RNA small subunit methyltransferase G	Phosphoribulokinase
R00	7937			Ribosomal RNA small subunit methyltransferase B	Fmu and Fmv protein
R00	7938			Holliday junction ATP-dependent DNA helicase RuvB 2	Holliday junction DNA helicase RuvB
R00	7939			Adaptive-response sensory-kinase SasA	SarS
R00	7940			Adaptive-response sensory-kinase SasA	sensory transduction histidine kinase
R00	7941			Adaptive-response sensory-kinase SasA	Signal transduction histidine kinase
R00	7942			Adaptive-response sensory-kinase SasA	putative His-kinase
R00	7943			Adenosylhomocysteinase	S-adenosylhomocysteine hydrolase
R00	7944			30S ribosomal protein S9	Ribosomal protein S9
R00	7945			30S ribosomal protein S9	putative 30S ribosomal protein
R00	7946			Protein translocase subunit SecA	Preprotein translocase SecA subunit
R00	7947			Protein translocase subunit SecA	Hypothetical protein
R00	7948			Protein translocase subunit SecA	preprotein translocase SecA subunit
R00	7949			Protein translocase subunit SecA	SecA protein
R00	7950			Protein translocase subunit SecA	SecA
R00	7951			Protein translocase subunit SecA	preprotein translocase subunit
R00	7952			Protein translocase subunit SecA	Preprotein translocase subunit SecA
R00	7953			Sarcosine/dimethylglycine N-methyltransferase	dimethylglycine N-methyltransferase
R00	7954			Protein translocase subunit SecD	protein-export membrane protein; SecD
R00	7955			Protein translocase subunit SecD	Preprotein translocase subunit SecD
R00	7956			Cell division protein SepF	Uncharacterized protein conserved in bacteria
R00	7957			Cell division protein SepF	Conserved hypothetical protein
R00	7958			Cell division protein SepF	conserved hypothetical protein
R00	7959			Cell division protein SepF	Protein of unknown function DUF552
R00	7960			Cell division protein SepF	Uncharacterized conserved protein
R00	7961			Cell division protein SepF	Protein of unknown function (DUF552)
R00	7962			Ribosomal RNA small subunit methyltransferase A	putative rRNA (adenine-N6,N6)-dimethyltransferase
R00	7963			Ribosomal RNA small subunit methyltransferase A	Dimethyladenosine transferase
R00	7964			Ribosomal RNA small subunit methyltransferase A	rRNA dimethyladenosine transferase
R00	7965			Ribosomal RNA small subunit methyltransferase A	S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase
R00	7966			Ribosomal RNA small subunit methyltransferase A	rRNA (adenine-N6,N6)-dimethyltransferase
R00	7967			Protein translocase subunit SecF	protein-export membrane protein SecF
R00	7968			Protein translocase subunit SecF	protein-export membrane protein; SecF
R00	7969			Protein translocase subunit SecF	Preprotein translocase subunit SecF
R00	7970			30S ribosomal protein S8	Ribosomal protein S8
R00	7971			Dimethylglycine N-methyltransferase	putative sarcosine-dimethylglycine methyltransferase
R00	7972			Crossover junction endodeoxyribonuclease RuvC	Crossover junction endodeoxyribonuclease RuvC (Holliday juction resolvase ruvC)
R00	7973			Crossover junction endodeoxyribonuclease RuvC	Crossover junction endodeoxyribonuclease RuvC (Holliday juction resolvase RuvC)
R00	7974			Crossover junction endodeoxyribonuclease RuvC	holiday junction resolvase
R00	7975			Crossover junction endodeoxyribonuclease RuvC	holliday junction resolvase
R00	7976			Crossover junction endodeoxyribonuclease RuvC	Crossover junction endodeoxyribonuclease ruvC (Hollidayjunction nuclease ruvC) (Holliday juction resolvase ruvC)
R00	7977			Crossover junction endodeoxyribonuclease RuvC	Holliday junction resolvase RuvC
R00	7978			Crossover junction endodeoxyribonuclease RuvC	Holliday juction resolvase; RuvC
R00	7979			Crossover junction endodeoxyribonuclease RuvC	holliday junction resolvase RuvC
